"x"
21
15
21
7.06
10.5
21
14.18
21
42
18.9
21
10.5
21
21
21
21
2.63
10.5
21
21
10.5
21
63
21
21
21
15.75
10.42
21
42
21
28.35
5.21
42
21
26.25
84
10.5
21
21
21
10.5
42
42
21
105
42
21
42
42
21
21
42
21
21
21
10.5
26.25
63
42
21
42
10.5
42
21
42
42
21
21
79.2
21
10.5
21
21
42
21
21
10.5
21
41.23
21
21
21
21
15.75
21
15
21
15.75
42
42
28
42
15
42
42
28.35
31.25
28.35
17.5
21
45
15.25
42
42
42
35
21
15.75
21
21
21
21
30
30
21
21
28
16
15.75
10.5
21
21
60
21
84
21
21
21
14.18
42
21
28.35
42
21
42
21
21
28.35
28.25
15.63
21
10.5
31.5
21
10.5
21
84
94.16
56.7
1.77
21
21
42
21
12
21
21
17.5
21
21
21
5.25
21
21
21
2.35
7.06
42
42
21
42
21
42
21
10.5
21
21
35
21
21
21
21
21
21
7
10.5
42
21
84
21
21
21
15
21
21
21
39.38
21
21
21
21
21
21
21
42
42
42
21
21
21
21
21
21
21
10.5
21
21
21
21
21
42
42
21
10.5
21
10.5
21
157.5
63
42
28.35
84
84
84
14.13
10
21
10.5
21
42
10.5
21
21
34
21
21
42
42
21
21
6
21
21
30.5
84
21
42
21
0.34
0.34
10.5
56.7
84
21
21
21
15.75
10.5
42
21
39.38
15
42
21
21
21
21
21
21
42
21
21
21
21
21
15.75
21
21
15
21
10.5
21
21
52.5
10.5
31.5
63
42
42
42
42
15.75
4.38
21
14.18
84
54
21
21
5
31.5
42
42
21
21
63
21
21
15
21
10.5
21
21
21
168
28.35
21
21
7.06
10.5
7.06
21
42
21
21
21
42
70
7
21
8.75
21
10.5
15
10.5
42
21
32
21
21
21
15.75
21
30
21
21
45.94
21
21
10.5
31.5
21
21
61
5.08
21
27
16
21
10.5
21
21
27.34
27.34
21
20
10.5
21
10.5
42
21
32.81
21
15.63
21
21
21
21
21
15.75
21
24
21
60
21
37.66
42
21
21
5.08
30
13.13
21
21
10.5
21
21
31.5
15.75
21
10.5
21
47.25
42
10.5
21
21
15.75
52.5
21
21
21
21
21
21
42
21
42
21
63
21
21
21
10.5
21
16.8
24
42
21
28
32.81
42
42
21
21
42
84
47.25
42
21
2.35
21
21
21
21
21
15.75
21
21
15
21
21
15.75
21
21
105
21
21
21
31.5
10.5
42
24
12
28
21
21
21
21
42
21
21
21
21
21
42
21
21
42
10.5
21
15
5.25
21
21
21
120
42
7
21
21
21
28.25
21
42
32
42
14.13
21
21
21
21
10.5
21
42
